sentence,departure,arrival
Je rêve de visiter Béziers en prenant le train depuis Nîmes.,Nîmes,Béziers
Je rêve de faire un voyage en train de Marseille à Le Havre.,Marseille,Le Havre
J'ai prévu de partir en train de Toulouse à Toulon.,Toulouse,Toulon
Je rêve de visiter Aix-en-Provence en prenant le train depuis Tourcoing.,Tourcoing,Aix-en-Provence
Je vais explorer Saint-Denis en train en partant de Besançon.,Besançon,Saint-Denis
Je souhaite découvrir Aix-en-Provence en prenant le train depuis Clermont-Ferrand.,Clermont-Ferrand,Aix-en-Provence
Partir de Paris pour Amiens en train serait génial.,Paris,Amiens
C'est le moment idéal pour un voyage de Paris à Clermont-Ferrand en train.,Paris,Clermont-Ferrand
C'est le moment idéal pour un voyage de Rennes à Clermont-Ferrand en train.,Rennes,Clermont-Ferrand
"Allons de Marseille à Besançon en train, qu'en penses-tu ?",Marseille,Besançon
Le voyage de Clermont-Ferrand à Nantes en train est une excellente idée.,Clermont-Ferrand,Nantes
"De Saint-Étienne à Montpellier, le train est le choix le plus pratique.",Saint-Étienne,Montpellier
"Pour mes prochaines vacances, je vais de Clermont-Ferrand à Rennes en train.",Clermont-Ferrand,Rennes
C'est le moment idéal pour un voyage de Clermont-Ferrand à Lyon en train.,Clermont-Ferrand,Lyon
Mon prochain voyage sera de Le Havre à Orléans en train.,Le Havre,Orléans
"Voyager de Marseille à Saint-Denis en train, est-ce une option possible ?",Marseille,Saint-Denis
J'ai prévu de partir en train de Lyon à Nîmes.,Lyon,Nîmes
"De Toulouse à Toulon, le train est le choix le plus pratique.",Toulouse,Toulon
"Voyager de Lyon à Toulouse en train, est-ce une option possible ?",Lyon,Toulouse
Le train de Calais à Limoges est-il disponible demain ?,Calais,Limoges
"Pour mes prochaines vacances, je vais de Pau à Lille en train.",Pau,Lille
Je m'apprête à réserver un billet de train pour Aix-en-Provence depuis Rennes.,Rennes,Aix-en-Provence
Le trajet en train de Calais à Le Havre est long mais pittoresque.,Calais,Le Havre
C'est le moment idéal pour un voyage de Amiens à Clermont-Ferrand en train.,Amiens,Clermont-Ferrand
Je songe à voyager en train de Nîmes vers Amiens.,Nîmes,Amiens
Mon prochain voyage sera de Béziers à Rouen en train.,Béziers,Rouen
Je souhaite découvrir Nîmes en prenant le train depuis Béziers.,Béziers,Nîmes
"De Saint-Denis à Montpellier, le train est mon choix préféré.",Saint-Denis,Montpellier
Le voyage de Besançon à Toulon en train est une excellente idée.,Besançon,Toulon
"Allons de Strasbourg à Perpignan en train, qu'en penses-tu ?",Strasbourg,Perpignan
La Rochelle est une belle ville. Je veux y aller en train depuis Toulon.,Toulon,La Rochelle
Pourquoi ne pas partir de Rennes à Nantes en train ce week-end ?,Rennes,Nantes
Je souhaite découvrir Strasbourg en prenant le train depuis Toulon.,Toulon,Strasbourg
Je vais explorer Paris en train en partant de Aix-en-Provence.,Aix-en-Provence,Paris
Le train de Toulouse à Amiens offre une vue magnifique.,Toulouse,Amiens
Le train de Montpellier à Paris offre une vue magnifique.,Montpellier,Paris
Le train de Rennes à La Rochelle est-il disponible demain ?,Rennes,La Rochelle
Je rêve de faire un voyage en train de Perpignan à Nîmes.,Perpignan,Nîmes
"De Perpignan à Bordeaux, le train est le choix le plus pratique.",Perpignan,Bordeaux
Je rêve de visiter Toulouse en prenant le train depuis Le Mans.,Le Mans,Toulouse
"De Tourcoing à Paris, le train est mon choix préféré.",Tourcoing,Paris
